2020/12/07 18:56:48,1875,하강,-0.7936507936507908,194371
2020/12/07 19:21:49,1875,하락,(-0.79%),194371
2020/12/09 14:53:42,1860,보합,(0.81%),72675
2020/12/09 15:01:33,1855,보합,(0.54%),84128
2020/12/09 15:16:08,1855,보합,(0.54%),86133
2020/12/09 15:32:57,1855,보합,(0.54%),91487
2020/12/09 16:52:23,1855,보합,(0.54%),91487
2020/12/09 16:54:55,1855,보합,(0.54%),91487
2020/12/11 16:30:16,1870,보합,(0.81%),138618
2020/12/11 16:47:19,1870,보합,(0.81%),138618
2020/12/12 05:35:49,1870,보합,(0.81%),138618
2020/12/12 05:37:26,1870,보합,(0.81%),138618
2020/12/14 14:39:49,1865,하락,(-0.27%),108675
2020/12/14 14:52:30,1860,하락,(-0.53%),108968
2020/12/14 15:06:28,1870,하락,(0.0%),108974
2020/12/14 15:21:17,1865,하락,(-0.27%),111314
2020/12/14 15:36:08,1860,하락,(-0.53%),112314
2020/12/14 16:11:26,1860,하락,(-0.53%),112314
2020/12/14 16:27:21,1860,하락,(-0.53%),112314
2020/12/22 00:02:52,1845,하락,(-1.6%),129543
2021/01/04 14:32:35,1865,상승,(1.63%),119236
2021/01/04 14:45:13,1865,상승,(1.63%),132328
